"label","o1","class"
"Antonio Abetti","http://dbpedia.org/resource/Antonio_Abetti",1
"Antonio de Ulloa","http://dbpedia.org/resource/Antonio_de_Ulloa",1
"Antony Hewish","http://dbpedia.org/resource/Antony_Hewish",1
"Argentina","http://dbpedia.org/resource/Argentina",1
"Aristarchus of Samos","http://dbpedia.org/resource/Aristarchus_of_Samos",1
"Emily Lakdawalla","http://dbpedia.org/resource/Emily_Lakdawalla",1
"Emma Vyssotsky","http://dbpedia.org/resource/Emma_Vyssotsky",1
"Erasmus Reinhold","http://dbpedia.org/resource/Erasmus_Reinhold",1
"Eratosthenes","http://dbpedia.org/resource/Eratosthenes",1
"Erika Hamden","http://dbpedia.org/resource/Erika_Hamden",1
"Ernest William Brown","http://dbpedia.org/resource/Ernest_William_Brown",1
"Ernst Öpik","http://dbpedia.org/resource/Ernst_Öpik",1
"Eudoxus of Cnidus","http://dbpedia.org/resource/Eudoxus_of_Cnidus",1
"Eugene Merle Shoemaker","http://dbpedia.org/resource/Eugene_Merle_Shoemaker",1
"Eugene Parker","http://dbpedia.org/resource/Eugene_Parker",1
"Eva Ahnert-Rohlfs","http://dbpedia.org/resource/Eva_Ahnert-Rohlfs",1
"Andrew Ainslie Common","http://dbpedia.org/resource/Andrew_Ainslie_Common",1
"Andrew Claude de la Cherois Crommelin","http://dbpedia.org/resource/Andrew_Claude_de_la_Cherois_Crommelin",1
"Andrew E. Lange","http://dbpedia.org/resource/Andrew_E._Lange",1
"Andronicus of Cyrrhus","http://dbpedia.org/resource/Andronicus_of_Cyrrhus",1
"Gerard K. O'Neill","http://dbpedia.org/resource/Gerard_K._O'Neill",1
"Gerard Kuiper","http://dbpedia.org/resource/Gerard_Kuiper",1
"Giorgio Abetti","http://dbpedia.org/resource/Giorgio_Abetti",1
"Giovanni Antonio Amedeo Plana","http://dbpedia.org/resource/Giovanni_Antonio_Amedeo_Plana",1
"Giovanni Battista Donati","http://dbpedia.org/resource/Giovanni_Battista_Donati",1
"Giovanni Battista Riccioli","http://dbpedia.org/resource/Giovanni_Battista_Riccioli",1
"Giovanni Domenico Cassini","http://dbpedia.org/resource/Giovanni_Domenico_Cassini",1
"Giovanni Schiaparelli","http://dbpedia.org/resource/Giovanni_Schiaparelli",1
"Giuseppe Piazzi","http://dbpedia.org/resource/Giuseppe_Piazzi",1
"Godefroy Wendelin","http://dbpedia.org/resource/Godefroy_Wendelin",1
"Armin Otto Leuschner","http://dbpedia.org/resource/Armin_Otto_Leuschner",1
"Arno Arthur Wachmann","http://dbpedia.org/resource/Arno_Arthur_Wachmann",1
"Marc Aaronson","http://dbpedia.org/resource/Marc_Aaronson",1
"Marc Kuchner","http://dbpedia.org/resource/Marc_Kuchner",1
"Marcel Minnaert","http://dbpedia.org/resource/Marcel_Minnaert",1
"Marcelo Gleiser","http://dbpedia.org/resource/Marcelo_Gleiser",1
"Margaret Burbidge","http://dbpedia.org/resource/Margaret_Burbidge",1
"Margaret Geller","http://dbpedia.org/resource/Margaret_Geller",1
"Maria Mitchell","http://dbpedia.org/resource/Maria_Mitchell",1
"Mark M. Phillips","http://dbpedia.org/resource/Mark_M._Phillips",1
"Martin Rees","http://dbpedia.org/resource/Martin_Rees",1
"Martin Ryle","http://dbpedia.org/resource/Martin_Ryle",1
"Martin Schwarzschild","http://dbpedia.org/resource/Martin_Schwarzschild",1
"Mary Watson Whitney","http://dbpedia.org/resource/Mary_Watson_Whitney",1
"Masahiro Koishikawa","http://dbpedia.org/resource/Masahiro_Koishikawa",1
"Masaru Arai","http://dbpedia.org/resource/Masaru_Arai",1
"Masayuki Yanai","http://dbpedia.org/resource/Masayuki_Yanai",1
"David Fabricius","http://dbpedia.org/resource/David_Fabricius",1
"David Merritt","http://dbpedia.org/resource/David_Merritt",1
"United States","http://dbpedia.org/resource/United_States",1
"Urbain Le Verrier","http://dbpedia.org/resource/Urbain_Le_Verrier",1
"Eugène Joseph Delporte","http://dbpedia.org/resource/Eugène_Joseph_Delporte",1
"Jean Dufay","http://dbpedia.org/resource/Jean_Dufay",1
"John Louis Emil Dreyer","http://dbpedia.org/resource/John_Louis_Emil_Dreyer",1
"Masakatsu Aoki","http://dbpedia.org/resource/Masakatsu_Aoki",1
"Masayuki Iwamoto","http://dbpedia.org/resource/Masayuki_Iwamoto",1
"Robert H. McNaught","http://dbpedia.org/resource/Robert_H._McNaught",1
"Manuel Peimbert","http://dbpedia.org/resource/Manuel_Peimbert",1
"Paulo R. Holvorcem","http://dbpedia.org/resource/Paulo_R._Holvorcem",1
"Philibert Jacques Melotte","http://dbpedia.org/resource/Philibert_Jacques_Melotte",1
"Gary A. Wegner","http://dbpedia.org/resource/Gary_A._Wegner",1
"Hendrik van Gent","http://dbpedia.org/resource/Hendrik_van_Gent",1
"J. G. Westphal","http://dbpedia.org/resource/J._G._Westphal",1
"Johann Heinrich Westphal","http://dbpedia.org/resource/Johann_Heinrich_Westphal",1
"Kazuro Watanabe","http://dbpedia.org/resource/Kazuro_Watanabe",1
"Ľudmila Pajdušáková","http://dbpedia.org/resource/Ľudmila_Pajdušáková",1
"Horace Parnell Tuttle","http://dbpedia.org/resource/Horace_Parnell_Tuttle",1
"Brahmagupta","http://dbpedia.org/resource/Brahmagupta",1
"Brian A. Skiff","http://dbpedia.org/resource/Brian_A._Skiff",1
"Brian G. Marsden","http://dbpedia.org/resource/Brian_G._Marsden",1
"Bruno Rossi","http://dbpedia.org/resource/Bruno_Rossi",1
"Aden Meinel","http://dbpedia.org/resource/Aden_Meinel",1
"Adolph Friedrich Lindemann","http://dbpedia.org/resource/Adolph_Friedrich_Lindemann",1
"Baptistin Baille","http://dbpedia.org/resource/Baptistin_Baille",1
"Jack Wisdom","http://dbpedia.org/resource/Jack_Wisdom",1
"Jacobus Kapteyn","http://dbpedia.org/resource/Jacobus_Kapteyn",1
"Jacques Cassini","http://dbpedia.org/resource/Jacques_Cassini",1
"Jamal Nazrul Islam","http://dbpedia.org/resource/Jamal_Nazrul_Islam",1
"James Binney","http://dbpedia.org/resource/James_Binney",1
"James Bradley","http://dbpedia.org/resource/James_Bradley",1
"James Challis","http://dbpedia.org/resource/James_Challis",1
"James Clerk Maxwell","http://dbpedia.org/resource/James_Clerk_Maxwell",1
"James Craig Watson","http://dbpedia.org/resource/James_Craig_Watson",1
"James Cuffey","http://dbpedia.org/resource/James_Cuffey",1
"James Dunlop","http://dbpedia.org/resource/James_Dunlop",1
"James Edward Keeler","http://dbpedia.org/resource/James_Edward_Keeler",1
"James Ferguson (American astronomer)","http://dbpedia.org/resource/James_Ferguson_(American_astronomer)",1
"James Jeans","http://dbpedia.org/resource/James_Jeans",1
"James Lind (naturalist)","http://dbpedia.org/resource/James_Lind_(naturalist)",1
"James Michael Moran","http://dbpedia.org/resource/James_Michael_Moran",1
"James South","http://dbpedia.org/resource/James_South",1
"James Van Allen","http://dbpedia.org/resource/James_Van_Allen",1
"James Whitney Young","http://dbpedia.org/resource/James_Whitney_Young",1
"Jane Luu","http://dbpedia.org/resource/Jane_Luu",1
"Janet Akyüz Mattei","http://dbpedia.org/resource/Janet_Akyüz_Mattei",1
"Janine Connes","http://dbpedia.org/resource/Janine_Connes",1
"Jayant Narlikar","http://dbpedia.org/resource/Jayant_Narlikar",1
"Jean-Claude Pecker","http://dbpedia.org/resource/Jean-Claude_Pecker",1
"Jean-Louis Pons","http://dbpedia.org/resource/Jean-Louis_Pons",1
"Jean-Pierre Verdet","http://dbpedia.org/resource/Jean-Pierre_Verdet",1
"Jean Baptiste Joseph Delambre","http://dbpedia.org/resource/Jean_Baptiste_Joseph_Delambre",1
"Jean Sylvain Bailly","http://dbpedia.org/resource/Jean_Sylvain_Bailly",1
"Kiichirō Furukawa","http://dbpedia.org/resource/Kiichirō_Furukawa",1
"Kim Weaver","http://dbpedia.org/resource/Kim_Weaver",1
"Bruce A. McIntosh","http://dbpedia.org/resource/Bruce_A._McIntosh",1
"Bryan Gaensler","http://dbpedia.org/resource/Bryan_Gaensler",1
"Matthew Fontaine Maury","http://dbpedia.org/resource/Matthew_Fontaine_Maury",1
"Maximilian Hell","http://dbpedia.org/resource/Maximilian_Hell",1
"Mercedes Richards","http://dbpedia.org/resource/Mercedes_Richards",1
"Merieme Chadid","http://dbpedia.org/resource/Merieme_Chadid",1
"Raymond Smith Dugan","http://dbpedia.org/resource/Raymond_Smith_Dugan",1
"Regiomontanus","http://dbpedia.org/resource/Regiomontanus",1
"Thebe Medupe","http://dbpedia.org/resource/Thebe_Medupe",1
"Ludwig Biermann","http://dbpedia.org/resource/Ludwig_Biermann",1
"Wolf Bickel","http://dbpedia.org/resource/Wolf_Bickel",1
"Emil Ernst","http://dbpedia.org/resource/Emil_Ernst",1
"Schelte J. Bus","http://dbpedia.org/resource/Schelte_J._Bus",1
"Bernhard Schmidt","http://dbpedia.org/resource/Bernhard_Schmidt",1
"Nilakantha Somayaji","http://dbpedia.org/resource/Nilakantha_Somayaji",1
"Nobuhiro Kawasato","http://dbpedia.org/resource/Nobuhiro_Kawasato",1
"Norio Kaifu","http://dbpedia.org/resource/Norio_Kaifu",1
"György Kulin","http://dbpedia.org/resource/György_Kulin",1
"Karl Glazebrook","http://dbpedia.org/resource/Karl_Glazebrook",1
"Paul Götz","http://dbpedia.org/resource/Paul_Götz",1
"Takeo Hatanaka","http://dbpedia.org/resource/Takeo_Hatanaka",1
"Yusuke Hagihara","http://dbpedia.org/resource/Yusuke_Hagihara",1
"Gustave-Adolphe Hirn","http://dbpedia.org/resource/Gustave-Adolphe_Hirn",1
"Hervé Faye","http://dbpedia.org/resource/Hervé_Faye",1
"Hiroshi Abe (astronomer)","http://dbpedia.org/resource/Hiroshi_Abe_(astronomer)",1
"Jeremiah Horrocks","http://dbpedia.org/resource/Jeremiah_Horrocks",1
"Martin van den Hove","http://dbpedia.org/resource/Martin_van_den_Hove",1
"Masanori Hirasawa","http://dbpedia.org/resource/Masanori_Hirasawa",1
"Sebastian von Hoerner","http://dbpedia.org/resource/Sebastian_von_Hoerner",1
"Shigeru Inoda","http://dbpedia.org/resource/Shigeru_Inoda",1
"Shin Hirayama","http://dbpedia.org/resource/Shin_Hirayama",1
"Jacques Laskar","http://dbpedia.org/resource/Jacques_Laskar",1
"Karl L. Littrow","http://dbpedia.org/resource/Karl_L._Littrow",1
